,Time,User,Tweet
0,2023-06-22 03:20:57+00:00,arpita37898816,"today's lowest news sentiment stocks
 under S&amp;P500 Explore stock sentiments 

👉https://t.co/Jq2DZjpBXs

$APT $JAKK $DYNT $SPV $LMND  $W $JAGX $T $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/Wjf7fcwVT1"
1,2023-06-22 01:57:18+00:00,sogitrades,"RT @Stockspy1: uranium stocks are catching a bid. I kinda like this speculative small cap

$SMR NuScale Power

these guys make small, modul…"
2,2023-06-22 00:54:42+00:00,macrodailyco,"Good work @RobinhoodApp @WebullGlobal traders, ""Retail Army Bets Record $1.5 Billion on Single Stocks in a Week..."" per @jpmorgan 🤭

""Most of the inflow into single stocks went into just three names — @Tesla $TSLA @Apple $APPL @nvidia $NVDA — in a bet that a record-shattering… https://t.co/lS1ix2XSi5 https://t.co/r2RzkfC6Fs"
3,2023-06-22 00:43:05+00:00,arpita37898816,"today's lowest news sentiment stocks
 under S&amp;P500 Explore stock sentiments 

https://t.co/Jq2DZjpBXs

$APT $JAKK $DYNT $SPV $LMND  $W $JAGX $T $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/Vt2N3uq8Bq"
4,2023-06-22 00:22:21+00:00,stocks_hunter_,"🦌سهم مضاربي سوينق 🦌 
$GWH
سعر السهم :1.27
منطقه الدخول :1.25-1.20
وقف الخساره : 1.18
الاهداف : 
1.30
1.40
1.50
1.60
1.72
1.92
2.00

#السوق_الامريكي 
#السوق_الامريكي 
 #الأسهم_الأمريكية 
#SPX500 
#SPX 
#QQQ
#SQQQ
#الاوبشن
#appl
#tsla
#nvda
#us100
#us500
#stocks_market https://t.co/YkhOjAjU5l"
5,2023-06-21 23:23:29+00:00,toyokotoshi,HEAT MAP-US major Index / Stocks (2023.06.21)      https://t.co/wkb8iQUw1j #米国株 #ヒートマップ #株式投資 #米国株投資 #米国株ヒートマップ #アメリカ株 #VTI #VOO #QQQ #VT #GOOGL #APPL #高配当 #ETF #投資初心者 #投資家と繋がりたい #投資家さんとつながりたい #投資初心者と繋がりたい https://t.co/N5Api3fosv
6,2023-06-21 21:59:22+00:00,estlee19900331,"RT @Stockspy1: uranium stocks are catching a bid. I kinda like this speculative small cap

$SMR NuScale Power

these guys make small, modul…"
7,2023-06-21 21:11:17+00:00,stocks_hunter_,"🦌سهم مضاربي سوينق 🦌 
 $CPTN
سعر السهم :0.5529
منطقه الدخول :0.53-0.48
وقف الخساره : 0.42
الاهداف : 
0.57
0.63
0.69
0.73
0.85
0.95
1.00
1.10

#السوق_الامريكي 
#السوق_الامريكي 
 #الأسهم_الأمريكية 
#SPX500 
#SPX 
#QQQ
#SQQQ
#الاوبشن
#appl
#tsla
#nvda
#us100
#us500
#stocks_market https://t.co/YDsmB6T6BZ"
8,2023-06-21 20:28:33+00:00,stocks_hunter_,"🦌سهم مضاربي سوينق 🦌 
 $SURF
سعر السهم :0.84$
منطقه الدخول :0.80-0.75
وقف الخساره : 0.70
الاهداف : 
0.88
0.91
0.99
1.03
1.10
1.20
1.30
1.40

#السوق_الامريكي 
#السوق_الامريكي 
 #الأسهم_الأمريكية 
#SPX500 
#SPX 
#QQQ
#SQQQ
#الاوبشن
#appl
#tsla
#nvda
#us100
#us500
#stocks_market"
9,2023-06-21 19:57:45+00:00,p000dl3,"RT @Stockspy1: uranium stocks are catching a bid. I kinda like this speculative small cap

$SMR NuScale Power

these guys make small, modul…"
10,2023-06-21 19:30:25+00:00,CDeterminism,"RT @Stockspy1: uranium stocks are catching a bid. I kinda like this speculative small cap

$SMR NuScale Power

these guys make small, modul…"
11,2023-06-21 19:20:15+00:00,Stockspy1,"uranium stocks are catching a bid. I kinda like this speculative small cap

$SMR NuScale Power

these guys make small, modular nuclear power generation facilities.  Theoretically, a company like $APPL might install one of these meet the massive power needs of #AI etc https://t.co/KCCsLl2aPp"
12,2023-06-21 19:00:02+00:00,CryptoTreeMap,"https://t.co/t6kVcSK6IH

Stock market:
$BTC +7.3% 📈
$ETH +5.31% 📈
$TTE +3.06% 📈
$601857.SS +2.04% 📈

$AMD -4.2% 📉
$INTC -4.14% 📉

#BTC #ETH #TTE #601857.SS #AMD #INTC #TSLA #APPL #stocks #trading #investing https://t.co/JTybolMjgX"
13,2023-06-21 18:13:27+00:00,Selina1324,"WB is right too ,buy the cheaper stocks, under valued stocks and feed them as French ducks = Cheap undervalued . or as APPL = 5G ,COVID is an extra bonus .Cheap and 5G in 2018 https://t.co/QgzKdWqp9Z"
14,2023-06-21 17:53:21+00:00,Miranda31290854,"today's lowest news sentiment stocks
 under S&amp;P500 Explore stock sentiments 

https://t.co/daYpzjkMPO

$APT $JAKK $DYNT $SPV $LMND  $W $JAGX $T $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/6leOQrEtlM"
15,2023-06-21 17:00:02+00:00,CryptoTreeMap,"https://t.co/t6kVcSK6IH

Stock market:
$BTC +10.94% 🚀
$ETH +7.66% 📈
$TTE +3% 📈
$601857.SS +2.04% 📈

$AMD -5.86% 📉
$TSLA -5.56% 📉

#BTC #ETH #TTE #601857.SS #AMD #TSLA #TSLA #APPL #stocks #trading #investing https://t.co/GnX0bDKNdY"
16,2023-06-21 16:21:02+00:00,tesla_utd,"@squawksquare It wasn’t only tsla, look at other stocks(appl, nvdia, etc), all went down in the same pattern around the same time."
17,2023-06-21 16:20:17+00:00,Nathankringle,"RT @Nathankringle: #HELPSAVE Canopy Growth stock

BUY $Weed on #TSX or
BUY $Cgc on #NASDAQ 

#StockMarket #Trending
#Discord #Robinhood #bu…"
18,2023-06-21 15:00:06+00:00,stocks_hunter_,"🦌سهم استثماري🦌 
 $SOUN
سعر السهم :3.67$
منطقه الدخول :3.33-3.00
وقف الخساره : 2.50
الاهداف : 
3.40
3.70
3.90
4.00
4.50
4.70
5.00

#السوق_الامريكي 
#السوق_الامريكي 
 #الأسهم_الأمريكية 
#SPX500 
#SPX 
#QQQ
#SQQQ
#الاوبشن
#appl
#tsla
#nvda
#us100
#us500
#stocks_market https://t.co/MRd62D82TV"
19,2023-06-21 15:00:03+00:00,CryptoTreeMap,"https://t.co/t6kVcSK6IH

Stock market:
$BTC +10.11% 🚀
$ETH +6.99% 📈
$TTE +2.79% 📈
$601857.SS +2.04% 📈

$AMD -5.36% 📉
$NVDA -3.68% 📉

#BTC #ETH #TTE #601857.SS #AMD #NVDA #TSLA #APPL #stocks #trading #investing https://t.co/wifhzfjXGG"
20,2023-06-21 13:38:22+00:00,Rahul04980546,"today's lowest news sentiment stocks
 under S&amp;P500 Explore stock sentiments 

https://t.co/n3ZDCLpdzI

$APT $JAKK $DYNT $SPV $LMND  $W $JAGX $T $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/ZTXxNGRdUd"
21,2023-06-21 07:27:10+00:00,williamallanm,"RT @MacnBTC: These are the Moving Average techniques kept secret by the richest and most successful #crypto and #stocks traders

I earned m…"
22,2023-06-21 06:43:32+00:00,stocks_hunter_,"🦌سهم استثماري🦌 
 $CDIO
سعر السهم :1.24$
منطقه الدخول :1.24-1.10
وقف الخساره : 1.05
الاهداف : 
1.53
1.78
1.94
2.37
2.60
2.86
3.11

#السوق_الامريكي 
#السوق_الامريكي 
 #الأسهم_الأمريكية 
#SPX500 
#SPX 
#QQQ
#SQQQ
#الاوبشن
#appl
#tsla
#nvda
#us100
#us500
#stocks_market https://t.co/T4D4zXFUTB"
