,Time,User,Tweet
0,2023-04-08 22:48:20+00:00,lxxnkong,RT @Banker_L83: $LRCX double inside day. This goes inside month &amp; down if price breaks $384.72 https://t.co/ZmyHNizmom
1,2023-04-08 20:46:03+00:00,yaron_gol,"RT @i_Know_First: Algorithmic Trading Software Based on Predictive Analytics: Returns up to 82.26% in 3 Months
https://t.co/wdURaCBSwB

#nv…"
2,2023-04-08 19:35:55+00:00,Vivienn91136161,$lrcx Top analyst price target for next week-- https://t.co/jxaZfvH9e7
3,2023-04-08 18:43:10+00:00,satyaji48811559,"$lrcx Top analyst price target for next week,,,,&gt;~
 https://t.co/8Mu6WiHnOF"
4,2023-04-08 17:59:04+00:00,Eric714,"RT @optionsanimal: Great conversation with a good friend, Barry Norton on the future of semiconductors, AI, China, and how to build an inve…"
5,2023-04-08 16:52:46+00:00,Oliver12212790,$lrcx  *Top analyst price target for next week..📈📉🚀  https://t.co/fi4XsoSdYc
6,2023-04-08 16:52:35+00:00,Jones43979318,$lrcx  *Top analyst price target for next week 📈📉🚀 https://t.co/O3LYCxLtyg
7,2023-04-08 16:37:44+00:00,David92550134,$lrcx  *Top analyst price target for next week 📈📉🚀 https://t.co/8OUmty07Lr
8,2023-04-08 16:30:31+00:00,janis_klocko,1000% almost half a mile here. You in our discord? We've been on fire!! https://t.co/OXCsuHIxiq… $AAPL $AMZN $FB $NFLX $BTC $BIDU $BABA $TWTR $PINS $TLRY $HEXO $ACB $FDX $DKNG $DDD $LRCX $NVDA $mana https://t.co/6DtteG7nnE
9,2023-04-08 16:14:49+00:00,O5Codnud7hvQsJG,"RT @koziii: 🇺🇸決算発表スケジュール
(ウォッチリスト 4/8時点）

4/13 $DAL
4/14 $UNH $JPM $C $WFC $BLK

4/18 $BAC $GS $JNJ $NFLX $ISRG
4/19 $MS $TSLA $LRCX $ASML…"
10,2023-04-08 15:32:17+00:00,AddreRandom,"$lrcx '''ALL THESE LEVELS POSTED AHEAD OF TIME BEFORE THE MARKET OPENED;- ---&gt;🚀
https://t.co/ybwnU3qTZN"
11,2023-04-08 15:13:34+00:00,j_moneystonks,RT @jmoneystonks: $LRCX weekly https://t.co/ORLfbWbifH
12,2023-04-08 15:01:33+00:00,vontuchman,"@Harri09046723 @petersarlin @iamtuomaa Sijoitan itse mieluummin puolijohteiden valmistusketjuun ($ASML, $TSM, $AMAT, $LRCX jne). Softapuolen voittajat voivat tulla yllättävistä suunnista."
13,2023-04-08 14:45:25+00:00,Jhonwic65,"1000% almost half a mile here. You in our discord? We've been on fire!! 
https://t.co/b8PtWWOJr0

$AAPL $AMZN $FB $NFLX $BABA $BIDU $MA $TWTR $PINS $TLRY $HEXO $ACB $FDX $DKNG $DDD $LRCX $NVDA $SOL https://t.co/FBfjgAhp0Z"
14,2023-04-08 14:12:41+00:00,koziii,"🇺🇸決算発表スケジュール
(ウォッチリスト 4/8時点）

4/13 $DAL
4/14 $UNH $JPM $C $WFC $BLK

4/18 $BAC $GS $JNJ $NFLX $ISRG
4/19 $MS $TSLA $LRCX $ASML
4/20 $AXP $NEE $SNAP
4/21 $PG https://t.co/YggXIcFdDT"
15,2023-04-08 13:51:35+00:00,AlexObr61514742,"$LRCX  Top analyst price target for next week --&gt;📉🚀
https://t.co/pdktgqeGbA"
16,2023-04-08 13:30:05+00:00,OptionsAnimal34,"RT @optionsanimal: Great conversation with a good friend, Barry Norton on the future of semiconductors, AI, China, and how to build an inve…"
17,2023-04-08 13:25:30+00:00,CarrieP35390103,"$LRCX Top analyst price target for next week&gt;💸💰
https://t.co/WR2sfDY6Nf"
18,2023-04-08 12:13:27+00:00,optionsanimal,"Great conversation with a good friend, Barry Norton on the future of semiconductors, AI, China, and how to build an investing plan around it. @Eric714 @OptionsAnimal34 

https://t.co/XAbv3057lI

$NVDA $AMD $MU $INTC $AMAT $TSM $QCOM $LRCX $QQQ $SOXX $SMH"
19,2023-04-08 12:01:08+00:00,Beeken_health,$ABBV $ABC $BBY $CI $COP $CSCO $CVS $DELL $DVN $EBAY $EXPD $FOX $FOXA $GILD $HPQ $KLAC $LRCX $MCK $MMM $MO $MOS $MPC $NTR $NUE $QCOM - Magic Formula Dividend Portfolio For April https://t.co/30yVRRgjVv
20,2023-04-08 11:43:12+00:00,officialbradgo,"So, not only are the non-FAAMG stocks weak (aka the other 490 companies in the S&amp;P 500), the FAAMG stocks themselves are well overbought

And other companies which serve as key leading indicators such as $AVGO $SOXX $AMAT $LRCX are no longer participating in the rally like FAAMG"
21,2023-04-08 11:35:51+00:00,Dived25939058,"$LRCX  Top analyst price target for next week.......&gt;🚀
https://t.co/FsbUl0KCh7"
22,2023-04-08 11:15:46+00:00,Karthick_ve,RT @playsmart9: I like $LRCX $ASML for upcoming next week results @MadMoneyOnCNBC @CNBCFastMoney @CathieDWood @timseymour @TicTocTick @GuyA…
23,2023-04-08 11:04:03+00:00,Beeken_health,$ABBV $ABC $BBY $CI $COP $CSCO $CVS $DELL $DVN $EBAY $EXPD $FOX $FOXA $GILD $HPQ $KLAC $LRCX $MCK $MMM $MO $MOS $MPC $NTR $NUE $QCOM - Magic Formula Dividend Portfolio For April https://t.co/LAwLlzxQgb
