,Date,User,Tweet
0,2015-03-31 23:58:56+00:00,650Legal,Jones Day conseille Cellectis dans le cadre de son introduction en bourse sur le Nasdaq. [Law in France] http://t.co/CyEPMCHarZ #legalind…
1,2015-03-31 23:57:41+00:00,trueblue51,"Etsy readies for itself for its Nasdaq initial public offering, now estimating it…via @inside https://t.co/PBt6zkM197 http://t.co/iTwuM6CsWS"
2,2015-03-31 23:56:07+00:00,cancrdaily,Intrexon-Merck KGaA Team Up for CAR-T Cancer Therapies - Analyst Blog - Nasdaq http://t.co/prYwiwrBfm #cancer #health
3,2015-03-31 23:56:03+00:00,CNAFinance,BlackBerry (NASDAQ: BBRY) Stock Climbs On Profits! http://t.co/cQJeVXpOy2
4,2015-03-31 23:54:56+00:00,mediasentiment,$MNKD received a new alert. Find out why at http://t.co/nZwqReM0tj #stocks #daytrading #trading #mkt  #NYSE #NASDAQ #markets 394
5,2015-03-31 23:53:18+00:00,quatromiller,@wellsleycopelan girl drop it like the nasdaq
6,2015-03-31 23:53:03+00:00,RIConferences,"GoDaddy prices IPO at $20, above the range  #nasdaq #nyse #otc http://t.co/gklXSYzsKF"
7,2015-03-31 23:52:15+00:00,investing_guide,"Up BANK 2687.34 (Nasdaq Bank) Stereotaxis Extends Silicon Valley Bank Credit Facility by ...

""ST. LOUIS, March 30… http://t.co/ZGtam6KPUN"
8,2015-03-31 23:51:10+00:00,ZapLinDaSilva,Special Section: Nasdaq Builds Nursery for Start-Ups http://t.co/3BTOAAOIDR
9,2015-03-31 23:51:07+00:00,ebusiness_books,Special Section: Nasdaq Builds Nursery for Start-Ups http://t.co/JETBo0A5S8
10,2015-03-31 23:50:54+00:00,AVPlanners,Nasdaq #videowall http://t.co/jRzZorMBqi
11,2015-03-31 23:50:22+00:00,animesh1977,"Wall St. drops but S&amp;P, Nasdaq register quarterly gains - Reuters http://t.co/RE9C3ouIEO"
12,2015-03-31 23:48:53+00:00,oneglobalrec,The #Oneglobalrec Team just got back from @NewYork #nasdaq #NewYork http://t.co/odnvfde6Sj
13,2015-03-31 23:48:25+00:00,efreebooks_org,Market Update: http://t.co/U2kmITSBRz Inc (NASDAQ:AMZN) - Amazon unveils reorder ... - Jutia Group http://t.co/vTLpNSilW3
14,2015-03-31 23:48:12+00:00,key_archive,"3/31
NYダウ   :17776.12 -200.19
NASDAQ:  4900.98 -46.56"
15,2015-03-31 23:46:49+00:00,inflation,"Ellyn buys LKQ 24.99: Short Interest in LKQ Expands By 41.7% (LKQ) | sleekmoney

""LKQ (NASDAQ:LKQ) was the recipie… http://t.co/VogxQvUYw3"
16,2015-03-31 23:46:46+00:00,colinchen4,"bought 364 shares of Microsoft Corp(NASDAQ:MSFT) @ US$ 40.75
 via @TradeHeroMobile"
17,2015-03-31 23:46:36+00:00,PureDecisions,#Nasdaq #stocks: #Merger #Acquisition: Strayer Education : Apr 2015 growth predicted as hesitant. http://t.co/5F4lg8lX4G
18,2015-03-31 23:45:34+00:00,megasafeinvest,"Wall St. drops but S&amp;P, Nasdaq register quarterly gains - Reuters http://t.co/w3wVkfQiJ0"
19,2015-03-31 23:45:22+00:00,Stock_Tracker1,Zynga Inc (ZNGA) 2.85 $ZNGA Most active Nasdaq-traded stocks AP - 1 hr 46 mins ago NEW YORK (AP) — A look at http://t.co/neNyXncbLq
